"CIPCODE","CIPTitle","INSTNM","lat","lng"
11.0101,"Computer and Information Sciences, General.","Alabama A & M University",34.783368,-86.568502
11.0101,"Computer and Information Sciences, General.","Alabama A & M University",34.783368,-86.568502
11.0101,"Computer and Information Sciences, General.","University of Alabama at Birmingham",33.50223,-86.80917
11.0101,"Computer and Information Sciences, General.","University of Alabama at Birmingham",33.50223,-86.80917
11.0101,"Computer and Information Sciences, General.","University of Alabama at Birmingham",33.50223,-86.80917
11.1003,"Computer and Information Systems Security/Information Assurance.","University of Alabama at Birmingham",33.50223,-86.80917
11.0804,"Modeling, Virtual Environments and Simulation.","University of Alabama in Huntsville",34.722818,-86.63842
11.1003,"Computer and Information Systems Security/Information Assurance.","University of Alabama in Huntsville",34.722818,-86.63842
11.0101,"Computer and Information Sciences, General.","University of Alabama in Huntsville",34.722818,-86.63842
11.0804,"Modeling, Virtual Environments and Simulation.","University of Alabama in Huntsville",34.722818,-86.63842
11.0101,"Computer and Information Sciences, General.","University of Alabama in Huntsville",34.722818,-86.63842
11.0101,"Computer and Information Sciences, General.","University of Alabama in Huntsville",34.722818,-86.63842
11.0804,"Modeling, Virtual Environments and Simulation.","University of Alabama in Huntsville",34.722818,-86.63842
11.1099,"Computer/Information Technology Services Administration and Management, Other.","Alabama State University",32.364317,-86.295677
11.0401,"Information Science/Studies.","Alabama State University",32.364317,-86.295677
11.0701,"Computer Science.","Alabama State University",32.364317,-86.295677
11.0101,"Computer and Information Sciences, General.","The University of Alabama",33.2144,-87.545766
11.0101,"Computer and Information Sciences, General.","The University of Alabama",33.2144,-87.545766
11.0101,"Computer and Information Sciences, General.","The University of Alabama",33.2144,-87.545766
11.0101,"Computer and Information Sciences, General.","The University of Alabama",33.2144,-87.545766
11.0101,"Computer and Information Sciences, General.","Central Alabama Community College",32.924429,-85.94653
11.0101,"Computer and Information Sciences, General.","Central Alabama Community College",32.924429,-85.94653
11.0101,"Computer and Information Sciences, General.","Central Alabama Community College",32.924429,-85.94653
11.0101,"Computer and Information Sciences, General.","Athens State University",34.805625,-86.96514
11.0101,"Computer and Information Sciences, General.","Athens State University",34.805625,-86.96514
11.1003,"Computer and Information Systems Security/Information Assurance.","Auburn University at Montgomery",32.369939,-86.177351
11.0701,"Computer Science.","Auburn University at Montgomery",32.369939,-86.177351
11.0101,"Computer and Information Sciences, General.","Auburn University",32.604685,-85.482782
11.0101,"Computer and Information Sciences, General.","Chattahoochee Valley Community College",32.42391,-85.031485
11.0101,"Computer and Information Sciences, General.","Chattahoochee Valley Community College",32.42391,-85.031485
11.0101,"Computer and Information Sciences, General.","Chattahoochee Valley Community College",32.42391,-85.031485
11.0401,"Information Science/Studies.","South University-Montgomery",32.342684,-86.216488
11.0401,"Information Science/Studies.","South University-Montgomery",32.342684,-86.216488
11.0401,"Information Science/Studies.","South University-Montgomery",32.342684,-86.216488
